"time","probability"
1.02481751824818,0.00226757369614519
2.1021897810219,0.015873015873016
3.07445255474452,0.0453514739229026
4.0992700729927,0.0861678004535148
5.04525547445255,0.163265306122449
5.91240875912409,0.242630385487528
6.93722627737227,0.297052154195011
7.98832116788321,0.424036281179138
8.96058394160584,0.523809523809524
10.0379562043796,0.614512471655329
10.9576642335766,0.716553287981859
12.0087591240876,0.789115646258503
13.0335766423358,0.886621315192744
13.9270072992701,0.918367346938775
15.0306569343066,0.952380952380952
17.0014598540146,1.00453514739229
