"","UMSARS_IV","Mean_Index_Score","Standard_Deviation"
"1","1 + 2",0.578701149425287,0.216116522992323
"2","3",0.427259259259259,0.268201686132739
"3","4",0.143519736842105,0.273780474015676
"4","5",-0.1255,0.228210837693301
